<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.09.18	1.29988	1.31204	1.29145	1.29590	624377	544982012000	11
2016.09.25	1.29637	1.30574	1.29156	1.29771	625738	525455826000	11
2016.10.02	1.29171	1.29459	1.14754	1.24316	765052	579967273000	11
2016.10.09	1.23946	1.24434	1.20892	1.21868	783507	561177929000	11
2016.10.16	1.21559	1.23318	1.21350	1.22325	570462	380160460000	11
2016.10.23	1.22197	1.22708	1.20817	1.21870	601160	395968792000	11
2016.10.30	1.21868	1.25568	1.21431	1.25075	667589	509796917000	11
2016.11.06	1.24558	1.26730	1.23525	1.25978	821177	614456752000	11
2016.11.13	1.25603	1.25898	1.23015	1.23557	812904	627453805000	11
2016.11.20	1.23419	1.25120	1.23118	1.24545	796017	663815320000	11
2016.11.27	1.24555	1.27144	1.23851	1.27072	666386	431969417000	11
2016.12.04	1.26776	1.27742	1.25478	1.25647	537038	281692741000	11
2016.12.11	1.25783	1.27275	1.23758	1.24802	635662	320019918000	11
2016.12.18	1.24754	1.25014	1.22282	1.22787	521825	306384360000	11
2016.12.25	1.22818	1.23877	1.19594	1.23111	428168	279571795000	11
2017.01.01	1.23260	1.24318	1.21988	1.22710	610870	397045367000	11
2017.01.08	1.22484	1.23160	1.20374	1.21865	738400	426048264000	11
2017.01.15	1.19905	1.24151	1.19864	1.23721	820836	470948568000	11
2017.01.22	1.23717	1.26731	1.23684	1.25532	757858	463883038000	11
2017.01.29	1.25768	1.27057	1.24118	1.24799	739380	477028834000	11
2017.02.05	1.24838	1.25817	1.23463	1.24816	669789	429911694000	11
2017.02.12	1.24655	1.25477	1.23825	1.24193	655512	467968583000	11
2017.02.19	1.24014	1.25692	1.24009	1.24530	598992	424948913000	11
2017.02.26	1.24672	1.24784	1.22137	1.22758	611845	421326430000	11
2017.03.05	1.22787	1.23001	1.21333	1.21739	621546	452194385000	11
2017.03.12	1.21690	1.24044	1.21087	1.23914	663507	462477028000	11
2017.03.19	1.23882	1.25307	1.23345	1.24824	593761	420644299000	11
2017.03.26	1.24895	1.26148	1.23761	1.25339	591051	442272596000	11
2017.04.02	1.25420	1.25554	1.23699	1.23749	543739	381390839000	11
2017.04.09	1.23776	1.25737	1.23654	1.25270	507864	361034583000	11
2017.04.16	1.25285	1.29048	1.25147	1.27993	558830	407090694000	11
2017.04.23	1.28216	1.29647	1.27715	1.29504	575108	400808970000	11
2017.04.30	1.29321	1.29755	1.28302	1.29682	500987	376194453000	11
2017.05.07	1.29825	1.29879	1.28440	1.28770	592717	467830732000	11
2017.05.14	1.28818	1.30470	1.28648	1.30293	636051	493347570000	11
2017.05.21	1.29932	1.30423	1.27746	1.28069	561164	415225135000	11
2017.05.28	1.27931	1.29204	1.27684	1.28795	506250	378419131000	11
2017.06.04	1.28551	1.29770	1.26348	1.27192	533296	0	11
2017.06.11	1.27091	1.28173	1.26380	1.27808	492532	0	11
2017.06.18	1.27700	1.28141	1.25885	1.27240	427301	0	11
2017.06.25	1.27347	1.30293	1.27056	1.30158	465041	0	11
2017.07.02	1.30044	1.30239	1.28664	1.28787	427103	0	11
2017.07.09	1.28808	1.30928	1.28113	1.30862	409782	0	11
2017.07.16	1.30960	1.31251	1.29323	1.30052	480580	0	11
2017.07.23	1.29865	1.31581	1.29865	1.31450	489934	0	11
2017.07.30	1.31254	1.32677	1.30233	1.30311	456482	0	11
2017.08.06	1.30343	1.30583	1.29389	1.30165	427636	0	11
2017.08.13	1.29906	1.30212	1.28311	1.28719	432591	0	11
2017.08.20	1.28542	1.29159	1.27736	1.28746	363379	0	11
2017.08.27	1.29189	1.29951	1.28517	1.29539	412596	0	11
2017.09.03	1.29506	1.32238	1.29082	1.31998	471492	0	11
2017.09.10	1.31857	1.36168	1.31487	1.35684	541182	862992000	1
2017.09.17	1.35577	1.36559	1.34517	1.35307	614655	0	1
2017.09.24	1.34857	1.35705	1.33425	1.34074	600863	0	1
2017.10.01	1.33693	1.34019	1.30270	1.30630	440501	0	1
2017.10.08	1.30865	1.33376	1.30747	1.32893	394136	0	1
2017.10.15	1.32874	1.33115	1.30876	1.31951	410219	0	1
2017.10.22	1.31853	1.32792	1.30695	1.31215	385875	0	1
2017.10.29	1.31084	1.33206	1.30392	1.30745	359433	0	1
2017.11.05	1.30685	1.32292	1.30583	1.32004	349376	0	1
2017.11.12	1.31651	1.32602	1.30618	1.32134	416794	0	1
2017.11.19	1.32148	1.33600	1.31857	1.33301	321824	0	1
2017.11.26	1.33208	1.35492	1.32208	1.34734	473716	0	1
2017.12.03	1.34319	1.35384	1.33199	1.33974	579076	0	1
2017.12.10	1.33801	1.34660	1.32851	1.33227	599730	0	1
2017.12.17	1.33074	1.34204	1.33074	1.33754	656786	0	2
2017.12.24	1.33722	1.35439	1.33473	1.35196	400900	0	2
2017.12.31	1.35053	1.36126	1.34882	1.35675	519228	0	2
2018.01.07	1.35691	1.37364	1.34579	1.37338	775780	0	1
2018.01.14	1.37267	1.39449	1.37236	1.38748	925825	0	1
2018.01.21	1.38933	1.43452	1.38569	1.41598	1215535	0	1
2018.01.28	1.41382	1.42781	1.39797	1.41297	1162946	0	1
2018.02.04	1.41017	1.41503	1.37643	1.38043	1253310	0	1
2018.02.11	1.38062	1.41448	1.37950	1.40188	905958	0	1
2018.02.18	1.40124	1.40493	1.38565	1.39670	791492	0	1
2018.02.25	1.39871	1.40697	1.37115	1.37870	821692	0	1
2018.03.04	1.37955	1.39292	1.37663	1.38494	804837	0	1
2018.03.11	1.38500	1.39954	1.38409	1.39429	630362	0	1
2018.03.18	1.39449	1.42181	1.39125	1.41455	915348	0	1
2018.03.25	1.41319	1.42444	1.40103	1.40271	718172	0	1
2018.04.01	1.40126	1.41052	1.39658	1.40827	471035	0	1
2018.04.08	1.40819	1.42961	1.40781	1.42355	393918	0	1
2018.04.15	1.42375	1.43762	1.40069	1.40263	397238	0	1
2018.04.22	1.39978	1.40309	1.37469	1.37887	397561	0	1
2018.04.29	1.37701	1.37923	1.34861	1.35455	499594	0	1
2018.05.06	1.35304	1.36175	1.34597	1.35430	524306	0	1
2018.05.13	1.35342	1.36082	1.34511	1.34828	468249	0	1
2018.05.20	1.34590	1.34914	1.33049	1.33152	513778	0	1
2018.05.27	1.33121	1.33617	1.32040	1.33432	537152	0	1
2018.06.03	1.33320	1.34723	1.32944	1.34167	465677	0	1
2018.06.10	1.34044	1.34464	1.32110	1.32831	502060	0	1
2018.06.17	1.32614	1.33147	1.31017	1.32590	535417	0	1
2018.06.24	1.32491	1.32919	1.30491	1.31899	566853	0	1
2018.07.01	1.31941	1.32794	1.30946	1.32670	493508	0	1
2018.07.08	1.33148	1.33627	1.31024	1.32284	501184	0	1
2018.07.15	1.32221	1.32925	1.29573	1.31333	471440	0	1
2018.07.22	1.31203	1.32127	1.30709	1.31115	423717	0	4
2018.07.29	1.31081	1.31722	1.29749	1.30059	383496	0	3
2018.08.05	1.29994	1.30076	1.27223	1.27618	365903	0	6
2018.08.12	1.27400	1.28267	1.26611	1.27453	449012	0	3
2018.08.19	1.27414	1.29358	1.27288	1.28424	386965	0	3
2018.08.26	1.28359	1.30429	1.28282	1.29673	422362	0	3
2018.09.02	1.29139	1.30283	1.27848	1.29205	434321	0	3
2018.09.09	1.29217	1.31431	1.28963	1.30639	395727	0	4
2018.09.16	1.30676	1.32979	1.30536	1.30743	435099	0	7
2018.09.23	1.30755	1.32169	1.29995	1.30436	400201	0	4
2018.09.30	1.30380	1.31223	1.29214	1.31073	475316	0	3
2018.10.07	1.31138	1.32572	1.30275	1.31565	588848	0	6
2018.10.14	1.30844	1.32359	1.30107	1.30679	549625	0	6
