<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.10.28	1.28128	1.28759	1.28111	1.28589	53034	0	1
2019.10.29	1.28591	1.29044	1.28064	1.28625	64336	0	1
2019.10.30	1.28625	1.29073	1.28450	1.28994	66880	0	1
2019.10.31	1.28995	1.29755	1.28975	1.29264	66700	0	1
2019.11.01	1.29264	1.29725	1.29262	1.29398	60530	0	1
2019.11.04	1.29264	1.29425	1.28760	1.28806	51070	0	2
2019.11.05	1.28813	1.29171	1.28589	1.28806	58683	0	2
2019.11.06	1.28809	1.28968	1.28437	1.28540	46769	0	2
2019.11.07	1.28537	1.28775	1.27936	1.28168	58326	0	2
2019.11.08	1.28158	1.28227	1.27684	1.27831	42947	0	2
2019.11.11	1.27732	1.28976	1.27732	1.28524	41155	0	2
2019.11.12	1.28523	1.28737	1.28152	1.28448	48362	0	2
2019.11.13	1.28431	1.28624	1.28214	1.28481	47063	0	2
2019.11.14	1.28479	1.28880	1.28246	1.28808	44822	0	2
2019.11.15	1.28802	1.29188	1.28670	1.29011	39045	0	2
2019.11.18	1.29200	1.29850	1.29074	1.29507	46080	0	2
2019.11.19	1.29503	1.29696	1.29101	1.29237	46279	0	2
2019.11.20	1.29228	1.29300	1.28868	1.29215	46902	0	2
2019.11.21	1.29211	1.29698	1.28927	1.29047	47224	0	2
2019.11.22	1.29051	1.29280	1.28226	1.28332	46134	0	2
2019.11.25	1.28523	1.29117	1.28408	1.28981	41855	0	2
2019.11.26	1.28981	1.29034	1.28348	1.28639	44920	0	2
2019.11.27	1.28634	1.29206	1.28268	1.29189	49316	0	2
2019.11.28	1.29191	1.29507	1.28989	1.29096	46127	0	2
2019.11.29	1.29096	1.29418	1.28788	1.29313	40271	0	2
2019.12.02	1.29088	1.29488	1.28957	1.29381	45311	0	2
2019.12.03	1.29387	1.30110	1.29302	1.29912	45379	0	2
2019.12.04	1.29910	1.31202	1.29824	1.31029	50629	0	2
2019.12.05	1.31030	1.31663	1.31030	1.31553	39983	0	2
2019.12.06	1.31553	1.31652	1.31002	1.31352	39965	0	2
2019.12.09	1.31336	1.31802	1.31310	1.31386	43170	0	2
2019.12.10	1.31385	1.32148	1.31325	1.31530	43912	0	2
2019.12.11	1.31536	1.32131	1.31052	1.31939	50571	0	2
2019.12.12	1.31937	1.32288	1.30492	1.31612	65097	0	2
2019.12.13	1.31603	1.35143	1.31603	1.33370	85839	0	2
2019.12.16	1.33353	1.34221	1.33209	1.33303	53946	0	2
2019.12.17	1.33300	1.33359	1.30991	1.31291	66664	0	2
2019.12.18	1.31266	1.31341	1.30594	1.30767	66957	0	2
2019.12.19	1.30770	1.31323	1.29896	1.30090	61621	0	2
2019.12.20	1.30091	1.30792	1.30046	1.30123	42154	0	2
2019.12.23	1.29940	1.30317	1.29049	1.29336	51664	0	2
2019.12.24	1.29328	1.29707	1.29217	1.29569	39195	0	2
2019.12.26	1.29848	1.30155	1.29595	1.29921	29246	0	2
2019.12.27	1.29922	1.31170	1.29682	1.30920	51477	0	2
2019.12.30	1.30691	1.31500	1.30656	1.31117	49982	0	2
2019.12.31	1.31117	1.32842	1.31048	1.32448	52886	0	2
2020.01.02	1.32090	1.32305	1.31150	1.31363	48916	0	2
2020.01.03	1.31363	1.31599	1.30532	1.30760	57484	0	2
2020.01.06	1.30781	1.31741	1.30625	1.31682	50184	0	2
2020.01.07	1.31684	1.32119	1.30948	1.31203	55737	0	1
2020.01.08	1.31180	1.31694	1.30801	1.30938	65260	0	1
2020.01.09	1.30937	1.31234	1.30130	1.30659	56120	0	1
2020.01.10	1.30659	1.30967	1.30422	1.30594	45980	0	1
2020.01.13	1.30364	1.30453	1.29609	1.29867	47464	0	1
2020.01.14	1.29867	1.30330	1.29541	1.30157	53505	0	1
2020.01.15	1.30151	1.30423	1.29848	1.30373	49886	0	1
2020.01.16	1.30373	1.30829	1.30251	1.30778	52227	0	1
2020.01.17	1.30783	1.31187	1.30137	1.30158	46341	0	1
2020.01.20	1.29985	1.30137	1.29618	1.30076	30729	0	1
2020.01.21	1.30075	1.30832	1.29949	1.30472	44734	0	1
2020.01.22	1.30473	1.31527	1.30345	1.31390	65605	0	1
2020.01.23	1.31395	1.31507	1.30969	1.31207	63668	0	1
2020.01.24	1.31208	1.31724	1.30564	1.30799	62010	0	1
2020.01.27	1.30754	1.31052	1.30401	1.30554	58664	0	1
2020.01.28	1.30570	1.30648	1.29753	1.30271	55509	0	1
2020.01.29	1.30271	1.30294	1.29892	1.30173	55576	0	1
2020.01.30	1.30192	1.31098	1.29777	1.30908	65249	0	1
2020.01.31	1.30907	1.31997	1.30820	1.31959	63979	0	1
2020.02.03	1.31701	1.31841	1.29828	1.29935	63750	0	1
2020.02.04	1.29935	1.30465	1.29409	1.30292	64479	0	1
2020.02.05	1.30292	1.30698	1.29562	1.30004	63619	0	1
2020.02.06	1.30016	1.30016	1.29210	1.29252	54083	0	1
2020.02.07	1.29262	1.29589	1.28900	1.28900	58592	0	1
2020.02.10	1.28864	1.29459	1.28717	1.29140	62085	0	1
2020.02.11	1.29128	1.29677	1.28943	1.29490	59098	0	1
2020.02.12	1.29508	1.29911	1.29452	1.29575	58281	0	1
2020.02.13	1.29568	1.30692	1.29441	1.30412	68228	0	1
2020.02.14	1.30385	1.30631	1.30010	1.30307	53861	0	1
2020.02.17	1.30324	1.30536	1.29975	1.30039	49400	0	1
2020.02.18	1.30039	1.30486	1.29705	1.29952	62288	0	1
2020.02.19	1.29952	1.30230	1.29075	1.29187	57909	0	1
2020.02.20	1.29186	1.29281	1.28489	1.28792	61033	0	1
2020.02.21	1.28802	1.29805	1.28746	1.29743	62568	0	1
2020.02.24	1.29426	1.29547	1.28865	1.29283	66933	0	1
2020.02.25	1.29290	1.30178	1.29142	1.30037	80121	0	1
2020.02.26	1.30036	1.30078	1.28953	1.28953	73940	0	1
2020.02.27	1.28967	1.29460	1.28601	1.28838	86909	0	1
2020.02.28	1.28838	1.29196	1.27255	1.27937	94619	0	1
2020.03.02	1.27918	1.28506	1.27398	1.27522	84743	0	1
2020.03.03	1.27518	1.28439	1.27379	1.28107	85409	0	1
2020.03.04	1.28103	1.28723	1.27697	1.28703	59390	0	1
2020.03.05	1.28700	1.29681	1.28604	1.29516	58349	0	1
2020.03.06	1.29527	1.30491	1.29371	1.30170	76426	0	1
2020.03.09	1.30754	1.31997	1.30342	1.30845	188792	0	1
2020.03.10	1.30845	1.31151	1.28580	1.28803	173248	0	12
2020.03.11	1.28803	1.29761	1.28024	1.28173	115489	0	1
2020.03.12	1.28191	1.28487	1.24902	1.25731	126863	0	1
2020.03.13	1.25735	1.26240	1.22757	1.23213	148562	0	1
2020.03.16	1.24107	1.24200	1.22018	1.22677	170248	0	1
2020.03.17	1.22662	1.22724	1.20018	1.20548	178035	0	1
2020.03.18	1.20551	1.21296	1.14515	1.15803	174594	0	1
2020.03.19	1.15777	1.17927	1.14190	1.14653	188137	0	1
2020.03.20	1.14652	1.19333	1.14098	1.15765	164642	0	1
2020.03.23	1.16745	1.17135	1.14463	1.15283	171688	0	1
2020.03.24	1.15283	1.17989	1.14749	1.17341	167644	0	1
2020.03.25	1.17342	1.19730	1.16384	1.18781	141114	0	1
